Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employed_status,Payment_method,Referal,Amount_spent,Age_Group
01/01/2019,151200,Female,19,Single,Kansas,Basic,Unemployed,Other,1,"$2,051.36",15-19
01/01/2019,151201,Male,49,Single,Illinois,Basic,Self-Employed,Card,0,$544.04,40-49
01/01/2019,151202,Male,63,Married,New Mexico,Basic,Employed,PayPal,1,"$1,572.60",60-69
01/01/2019,151203,Unknown,18,Single,Virginia,Platinum,Employed,Card,1,"$1,199.79",15-19
01/01/2019,151204,Male,27,Single,Connecticut,Basic,Self-Employed,Card,0,$0.00,20-29
01/03/2019,151205,Male,71,Single,Hawaii,Basic,Employed,PayPal,1,"$2,922.66",70-79
01/03/2019,151206,Female,34,Married,New Mexico,Platinum,Employed,PayPal,1,"$1,481.42",30-39
01/03/2019,151207,Male,37,Married,Connecticut,Basic,Employed,PayPal,1,"$1,149.55",30-39
01/04/2019,151208,Male,75,Married,Florida,Silver,Employed,Card,0,"$1,046.20",70-79
01/04/2019,151209,Female,41,Married,Vermont,Gold,Unemployed,Card,1,"$2,730.60",40-49
01/04/2019,151210,Female,56,Married,California,Basic,Employed,PayPal,0,"$1,712.82",50-59
01/05/2019,151211,Female,63,Married,Colorado,Basic,Employed,Other,1,$154.31,60-69
01/05/2019,151212,Female,60,Married,Iowa,Basic,Self-Employed,Card,1,$819.08,60-69
01/05/2019,151213,Male,47,Single,South Carolina,Basic,Employed,PayPal,1,"$1,719.83",40-49
01/05/2019,151214,Male,24,Married,Colorado,Platinum,Self-Employed,Other,1,$954.12,20-29
01/06/2019,151215,Male,16,Single,New York,Platinum,Employed,Other,1,"$1,005.92",15-19
01/06/2019,151216,Female,72,Married,Maine,Silver,Self-Employed,PayPal,1,"$2,882.77",70-79
01/07/2019,151217,Female,77,Married,New Mexico,Platinum,Employed,Card,0,"$2,999.98",70-79
01/07/2019,151218,Male,42,Married,Maryland,Basic,Self-Employed,Other,0,"$1,902.73",40-49
01/08/2019,151219,Female,46,Married,Missouri,Basic,Employed,Card,1,"$2,968.95",40-49
01/08/2019,151220,Female,19,Married,Hawaii,Missing,Employed,PayPal,0,$0.00,15-19
01/08/2019,151221,Male,42,Married,North Dakota,Silver,Employed,PayPal,0,$995.77,40-49
01/08/2019,151222,Female,50,Married,Ohio,Missing,Employed,Card,0,$719.13,50-59
01/09/2019,151223,Male,47,Single,Nebraska,Basic,Self-Employed,PayPal,1,"$2,407.36",40-49
01/10/2019,151224,Female,32,Single,Montana,Basic,Employed,PayPal,0,"$2,737.41",30-39
01/11/2019,151225,Male,25,Married,Indiana,Basic,Self-Employed,Other,1,"$1,514.75",20-29
01/12/2019,151226,Male,33,Married,Wisconsin,Basic,Self-Employed,Card,1,$293.58,30-39
01/12/2019,151227,Male,61,Married,Alabama,Platinum,Employed,Card,1,"$1,094.67",60-69
01/12/2019,151228,Male,75,Married,Alabama,Basic,Self-Employed,PayPal,1,$233.05,70-79
01/12/2019,151229,Female,62,Married,Indiana,Silver,Employed,Other,1,$0.00,60-69
01/12/2019,151230,Male,17,Married,Maine,Basic,Employed,PayPal,1,$0.00,15-19
1/13/2019,151231,Female,21,Single,Montana,Basic,Employed,Card,0,"$2,035.07",20-29
1/13/2019,151232,Male,39,Single,Arkansas,Basic,Employed,Other,0,$128.29,30-39
